location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 44,2019-05-16,2019-06-12,Sofala,Buzi,16,14,24,54,44
Facility 44,2019-05-15,2019-06-12,Sofala,Buzi,8,19,26,53,44
Facility 44,2019-05-14,2019-06-12,Sofala,Buzi,6,6,43,55,44
Facility 44,2019-05-13,2019-06-12,Sofala,Buzi,25,10,39,74,44
Facility 45,2019-06-12,2019-06-12,Sofala,Buzi,31,50,49,130,45
Facility 23,2019-06-12,2019-06-12,Sofala,Dondo,11,7,12,30,23
Facility 22,2019-06-12,2019-06-12,Sofala,Beira,10,3,10,23,22
Facility 36,2019-06-12,2019-06-12,Sofala,Dondo,0,0,0,0,36
Facility 34,2019-06-12,2019-06-12,Sofala,Dondo,10,7,11,28,34
Facility 46,2019-06-11,2019-06-12,Sofala,Dondo,5,2,3,10,46
